CustomerProductChargeID,CustomerID,AccountNumber,BillingReferenceID,ProductID,DefaultProductDescription,ChargeInstanceDescription,ChargeQuantity,ProductChargeFrequencyID,UnitCostToGCI,UnitChargeToCustomer,ChargeTaxTypeFlag,ChargeStartDate,ChargeEndDate,ChargeBilledUntil,AllowCreditBackFlag,CustomerCustomReference,ChargeInstanceCreateDate,ChargeInstanceCreateUser
596908,234247,LIFECAPX,1684741,5488,TempProductDuringCleanUp,DSL Install,1,0,0.00,50.00,1,2016-09-13 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:02.370,GCICOM\Ksouthall
596910,234247,LIFECAPX,1684741,5488,TempProductDuringCleanUp,Hardware Cisco 877,1,0,172.00,240.00,1,2016-09-13 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:02.563,GCICOM\Ksouthall
596913,234247,LIFECAPX,1684743,5488,TempProductDuringCleanUp,PSTN Install,1,0,57.79,100.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:03.360,GCICOM\Ksouthall
596915,234247,LIFECAPX,1684743,5488,TempProductDuringCleanUp,DSL Install,1,0,0.00,50.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:04.070,GCICOM\Ksouthall
596917,234247,LIFECAPX,1684743,5488,TempProductDuringCleanUp,Hardware Cisco 877,1,0,172.00,240.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:04.927,GCICOM\Ksouthall
596920,234247,LIFECAPX,1684745,5488,TempProductDuringCleanUp,PSTN Install,1,0,57.79,100.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:05.683,GCICOM\Ksouthall
596922,234247,LIFECAPX,1684745,5488,TempProductDuringCleanUp,DSL Install,1,0,0.00,50.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:06.013,GCICOM\Ksouthall
584660,234247,LIFECAPX,1666699,5488,TempProductDuringCleanUp,50Mb National Ethernet Install,1,0,1900.00,2260.00,1,2016-06-29 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:28.900,GCICOM\akoottungal
584661,234247,LIFECAPX,1666699,5488,TempProductDuringCleanUp,Managed Router Install,1,0,267.00,240.00,1,2016-06-29 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:29.090,GCICOM\akoottungal
584668,234247,LIFECAPX,1666706,5488,TempProductDuringCleanUp,Replacement Managed Router,1,0,172.00,250.00,1,2016-06-28 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:32.120,GCICOM\akoottungal
596924,234247,LIFECAPX,1684745,5488,TempProductDuringCleanUp,Hardware Cisco 877,1,0,172.00,240.00,1,2016-10-03 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-20 09:39:06.323,GCICOM\Ksouthall
584683,234247,LIFECAPX,1666712,5488,TempProductDuringCleanUp,PSTN Install,1,0,52.79,200.00,1,2016-06-02 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:36.870,GCICOM\akoottungal
597150,234236,INTRALAN,1684833,5488,TempProductDuringCleanUp,100Mb P2P Layer 2 Install,1,0,0.00,2000.00,1,2016-05-18 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-24 14:25:38.017,GCICOM\Ksouthall
573386,234278,RTIADVAN,1661477,5488,TempProductDuringCleanUp,PSTN,1,0,52.79,69.00,1,2016-04-27 00:00:00.000,NULL,2016-04-27 00:00:00.000,1,NULL,2016-06-22 15:54:26.823,GCICOM\akoottungal
609499,234218,FOCUS,1712275,5488,TempProductDuringCleanUp,Managed Firewall Install FW315,1,0,150.00,350.00,1,2017-01-26 00:00:00.000,NULL,2017-02-07 00:00:00.000,1,,2017-01-31 10:57:20.223,CORP\louise.aldred
609500,234218,FOCUS,1712275,5488,TempProductDuringCleanUp,Managed Switch Install S5700,1,0,250.00,500.00,1,2017-01-26 00:00:00.000,NULL,2017-02-07 00:00:00.000,1,,2017-01-31 10:57:20.317,CORP\louise.aldred
597303,234218,FOCUS,1661405,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:23:00.677,GCICOM\astanton
597293,234218,FOCUS,1661395,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:22:59.560,GCICOM\astanton
597295,234218,FOCUS,1661396,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:22:59.800,GCICOM\astanton
597297,234218,FOCUS,1661397,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:23:00.023,GCICOM\astanton
597299,234218,FOCUS,1661424,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:23:00.240,GCICOM\astanton
597301,234218,FOCUS,1661404,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrde Charge,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:23:00.453,GCICOM\astanton
597366,234218,FOCUS,1661394,5488,TempProductDuringCleanUp,100Mb National Ethernet,1,0,250.00,250.00,1,2016-08-01 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 12:34:51.523,GCICOM\astanton
602563,234218,FOCUS,1702093,5488,TempProductDuringCleanUp,FW-315,1,0,390.91,350.00,1,2016-10-04 00:00:00.000,NULL,2016-12-07 00:00:00.000,1,,2016-11-29 11:30:52.557,GCICOM\Ksouthall
602566,234218,FOCUS,1702094,5488,TempProductDuringCleanUp,UBT Switches,1,0,6367.79,7545.00,1,2016-09-29 00:00:00.000,NULL,2016-12-07 00:00:00.000,1,,2016-11-29 11:30:53.390,GCICOM\Ksouthall
573371,234218,FOCUS,1661434,5488,TempProductDuringCleanUp,Managed Firewall Install,1,0,419.72,350.00,1,2016-05-18 00:00:00.000,NULL,2016-05-18 00:00:00.000,1,NULL,2016-06-22 15:54:22.520,GCICOM\akoottungal
573372,234218,FOCUS,1661434,5488,TempProductDuringCleanUp,Managed Switch Install,1,0,0.00,500.00,1,2016-05-18 00:00:00.000,NULL,2016-05-18 00:00:00.000,1,NULL,2016-06-22 15:54:22.693,GCICOM\akoottungal
573373,234218,FOCUS,1661434,5488,TempProductDuringCleanUp,Excess Construction Charges,1,0,10575.30,10575.30,1,2016-05-18 00:00:00.000,NULL,2016-05-18 00:00:00.000,1,NULL,2016-06-22 15:54:22.897,GCICOM\akoottungal
573395,234218,FOCUS,1661481,5488,TempProductDuringCleanUp,Wireless Pre-survey,5,0,600.00,600.00,1,2016-04-21 00:00:00.000,NULL,2016-04-21 00:00:00.000,1,NULL,2016-06-22 15:54:29.333,GCICOM\akoottungal
573396,234218,FOCUS,1661481,5488,TempProductDuringCleanUp,Wireless Pre-survey,22,0,500.00,600.00,1,2016-04-21 00:00:00.000,NULL,2016-04-21 00:00:00.000,1,NULL,2016-06-22 15:54:29.527,GCICOM\akoottungal
573397,234218,FOCUS,1661481,5488,TempProductDuringCleanUp,Wireless Post-survey,27,0,500.00,600.00,1,2016-04-21 00:00:00.000,NULL,2016-04-21 00:00:00.000,1,NULL,2016-06-22 15:54:29.727,GCICOM\akoottungal
573399,234218,FOCUS,1661405,5488,TempProductDuringCleanUp,100Mb National Ethernet Regrade Fee,1,0,200.00,250.00,1,2016-04-26 00:00:00.000,NULL,2016-04-26 00:00:00.000,1,NULL,2016-06-22 15:54:30.720,GCICOM\akoottungal
597558,234218,FOCUS,1686046,5488,TempProductDuringCleanUp,Firewall FW-315,1,0,185.00,350.00,1,2016-09-07 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-31 11:58:30.907,GCICOM\Ksouthall
597559,234218,FOCUS,1686046,5488,TempProductDuringCleanUp,Huawei S5700 Switch,1,0,250.00,500.00,1,2016-09-07 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-31 11:58:30.997,GCICOM\Ksouthall
597286,234258,NEOERA,1685920,5488,TempProductDuringCleanUp,11Mb EFM Install Fee,1,0,1200.00,2295.00,1,2016-07-11 00:00:00.000,NULL,2016-11-03 00:00:00.000,1,NULL,2016-10-27 10:22:58.370,GCICOM\astanton
605830,234266,OAKLANDS,1707214,5488,TempProductDuringCleanUp,Project Management,1,0,93.75,187.50,1,2016-11-21 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-09 15:59:31.500,GCICOM\bmanager
605832,234266,OAKLANDS,1707214,5488,TempProductDuringCleanUp,PSTN Install,1,0,38.41,51.21,1,2016-11-21 00:00:00.000,NULL,2017-01-09 00:00:00.000,1,,2016-12-09 15:59:31.757,GCICOM\bmanager
584665,234282,SGWEUROP,1666702,5488,TempProductDuringCleanUp,Excess Construction Charges,1,0,314.84,314.84,1,2016-06-27 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:15:30.657,GCICOM\akoottungal
584711,234219,FOCUSMUL,1660439,5488,TempProductDuringCleanUp,100Mb National Ethernet Upgrade Fee,1,0,0.00,350.00,1,2016-06-20 00:00:00.000,NULL,2016-07-13 00:00:00.000,1,NULL,2016-07-13 10:51:25.280,GCICOM\akoottungal
